local_time,ros_time_sec,trial_id,screen,phase,task,duration_ms,word,ink,ground_truth,raw_message
2026-05-11T19:08:54.800,1778494134.800252914,1,2,pretest_color_congruent,read_color,1000,red,red,red,id=1;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-11T19:08:55.800,1778494135.800648451,2,2,pretest_color_congruent,read_color,1000,brown,brown,brown,id=2;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=brown;ink=brown;ground_truth=brown
2026-05-11T19:08:56.802,1778494136.802183867,3,2,pretest_color_congruent,read_color,1000,green,green,green,id=3;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-11T19:08:57.803,1778494137.803218126,4,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=4;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-11T19:08:58.803,1778494138.803845882,5,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=5;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-11T19:08:59.804,1778494139.804011106,6,2,pretest_color_congruent,read_color,1000,black,black,black,id=6;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=black;ink=black;ground_truth=black
2026-05-11T19:09:00.806,1778494140.806042433,7,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=7;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-11T19:09:01.806,1778494141.806406498,8,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=8;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-11T19:09:02.807,1778494142.807269573,9,2,pretest_color_congruent,read_color,1000,red,red,red,id=9;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-11T19:09:03.807,1778494143.807877541,10,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=10;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
