local_time,ros_time_sec,trial_id,screen,phase,task,duration_ms,word,ink,ground_truth,raw_message
2026-05-13T20:37:24.385,1778672244.385754585,1,2,pretest_color_congruent,read_color,1000,brown,brown,brown,id=1;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=brown;ink=brown;ground_truth=brown
2026-05-13T20:37:25.386,1778672245.386097431,2,2,pretest_color_congruent,read_color,1000,green,green,green,id=2;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-13T20:37:26.386,1778672246.386866808,3,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=3;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-13T20:37:27.387,1778672247.387027740,4,2,pretest_color_congruent,read_color,1000,red,red,red,id=4;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-13T20:37:28.387,1778672248.387708426,5,2,pretest_color_congruent,read_color,1000,black,black,black,id=5;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=black;ink=black;ground_truth=black
2026-05-13T20:37:29.388,1778672249.388012648,6,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=6;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-13T20:37:30.388,1778672250.388649940,7,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=7;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-13T20:37:31.389,1778672251.389192581,8,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=8;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-13T20:37:32.389,1778672252.389521360,9,2,pretest_color_congruent,read_color,1000,green,green,green,id=9;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-13T20:37:33.390,1778672253.390328407,10,2,pretest_color_congruent,read_color,1000,black,black,black,id=10;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=black;ink=black;ground_truth=black
2026-05-13T20:37:34.390,1778672254.390680075,11,2,pretest_color_congruent,read_color,1000,blue,blue,blue,id=11;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=blue;ink=blue;ground_truth=blue
2026-05-13T20:37:35.391,1778672255.391037941,12,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=12;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-13T20:37:36.391,1778672256.391887903,13,2,pretest_color_congruent,read_color,1000,blue,blue,blue,id=13;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=blue;ink=blue;ground_truth=blue
2026-05-13T20:37:37.392,1778672257.392635822,14,2,pretest_color_congruent,read_color,1000,brown,brown,brown,id=14;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=brown;ink=brown;ground_truth=brown
2026-05-13T20:37:38.393,1778672258.393333435,15,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=15;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-13T20:37:51.417,1778672271.417361498,16,3,word_4colors,read_word,1200,red,black,red,id=16;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=black;ground_truth=red
2026-05-13T20:37:52.753,1778672272.753789902,17,3,word_4colors,read_word,1200,green,red,green,id=17;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=red;ground_truth=green
2026-05-13T20:37:53.954,1778672273.954305172,18,3,word_4colors,read_word,1200,blue,black,blue,id=18;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=black;ground_truth=blue
2026-05-13T20:37:55.155,1778672275.155124187,19,3,word_4colors,read_word,1200,black,red,black,id=19;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=red;ground_truth=black
2026-05-13T20:37:56.355,1778672276.355766058,20,3,word_4colors,read_word,1200,black,blue,black,id=20;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=blue;ground_truth=black
2026-05-13T20:37:57.556,1778672277.556474924,21,3,word_4colors,read_word,1200,green,red,green,id=21;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=red;ground_truth=green
