local_time,ros_time_sec,trial_id,answer,is_correct,source,response_time_ms,word,ink,ground_truth,phase,screen,task,topic,raw_message
2026-05-13T12:19:02.455,1778642342.455015421,17,true,true,simple_bool,,blue,red,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:02.456,1778642342.456115007,17,true,true,simple_bool,,blue,red,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:02.457,1778642342.457499027,16,true,true,manager,1472,green,black,green,word_4colors,3,read_word,/stroop/answer_detail,id=16;answer=true;source=manager;response_time_ms=1472;word=green;ink=black;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:03.552,1778642343.552458525,18,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:03.553,1778642343.553289175,18,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:03.554,1778642343.554324865,17,true,true,manager,1368,blue,red,blue,word_4colors,3,read_word,/stroop/answer_detail,id=17;answer=true;source=manager;response_time_ms=1368;word=blue;ink=red;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:04.228,1778642344.228114128,18,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:04.229,1778642344.229065657,18,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:04.230,1778642344.230354071,18,true,true,manager,843,red,green,red,word_4colors,3,read_word,/stroop/answer_detail,id=18;answer=true;source=manager;response_time_ms=843;word=red;ink=green;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:05.327,1778642345.327924728,19,true,true,simple_bool,,black,blue,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:05.328,1778642345.328932762,19,true,true,simple_bool,,black,blue,black,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:05.330,1778642345.330074072,19,true,true,manager,741,black,blue,black,word_4colors,3,read_word,/stroop/answer_detail,id=19;answer=true;source=manager;response_time_ms=741;word=black;ink=blue;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:06.485,1778642346.484987497,20,true,true,simple_bool,,blue,red,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:06.486,1778642346.486491680,20,true,true,simple_bool,,blue,red,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:06.488,1778642346.488340139,20,true,true,manager,698,blue,red,blue,word_4colors,3,read_word,/stroop/answer_detail,id=20;answer=true;source=manager;response_time_ms=698;word=blue;ink=red;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:07.666,1778642347.666115999,21,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:07.667,1778642347.667131662,21,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:07.669,1778642347.669300318,21,true,true,manager,679,black,green,black,word_4colors,3,read_word,/stroop/answer_detail,id=21;answer=true;source=manager;response_time_ms=679;word=black;ink=green;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:08.913,1778642348.913219213,22,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:08.915,1778642348.914968252,22,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:08.916,1778642348.916914225,22,true,true,manager,725,red,green,red,word_4colors,3,read_word,/stroop/answer_detail,id=22;answer=true;source=manager;response_time_ms=725;word=red;ink=green;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:10.102,1778642350.102789164,23,true,true,simple_bool,,green,blue,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:10.104,1778642350.104221821,23,true,true,simple_bool,,green,blue,green,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:10.106,1778642350.106936216,23,true,true,manager,714,green,blue,green,word_4colors,3,read_word,/stroop/answer_detail,id=23;answer=true;source=manager;response_time_ms=714;word=green;ink=blue;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:11.295,1778642351.295224428,24,true,true,simple_bool,,red,black,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:11.296,1778642351.296287775,24,true,true,simple_bool,,red,black,red,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:11.297,1778642351.297616720,24,true,true,manager,706,red,black,red,word_4colors,3,read_word,/stroop/answer_detail,id=24;answer=true;source=manager;response_time_ms=706;word=red;ink=black;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:12.542,1778642352.542050123,25,true,true,simple_bool,,blue,green,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:12.543,1778642352.543410540,25,true,true,simple_bool,,blue,green,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:12.544,1778642352.544824362,25,true,true,manager,752,blue,green,blue,word_4colors,3,read_word,/stroop/answer_detail,id=25;answer=true;source=manager;response_time_ms=752;word=blue;ink=green;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:13.677,1778642353.677218199,26,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:13.678,1778642353.678085804,26,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/result,true
2026-05-13T12:19:13.679,1778642353.679404020,26,true,true,manager,687,green,red,green,word_4colors,3,read_word,/stroop/answer_detail,id=26;answer=true;source=manager;response_time_ms=687;word=green;ink=red;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-13T12:19:14.934,1778642354.934349537,27,true,true,simple_bool,,black,red,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T12:19:14.936,1778642354.936005116,27,true,true,simple_bool,,black,red,black,word_4colors,3,read_word,/stroop/result,true
