local_time,ros_time_sec,trial_id,answer,is_correct,source,response_time_ms,word,ink,ground_truth,phase,screen,task,topic,raw_message
2026-05-13T16:29:10.288,1778657350.288078308,17,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:10.289,1778657350.289556980,17,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:10.291,1778657350.290983915,16,true,true,manager,1538,red,blue,red,word_4colors,3,read_word,/stroop/answer_detail,id=16;answer=true;source=manager;response_time_ms=1538;word=red;ink=blue;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:11.425,1778657351.425909281,18,true,true,simple_bool,,green,black,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:11.426,1778657351.426856756,18,true,true,simple_bool,,green,black,green,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:11.428,1778657351.428204775,17,true,true,manager,1475,blue,black,blue,word_4colors,3,read_word,/stroop/answer_detail,id=17;answer=true;source=manager;response_time_ms=1475;word=blue;ink=black;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:12.177,1778657352.177402735,18,true,true,simple_bool,,green,black,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:12.178,1778657352.178303242,18,true,true,simple_bool,,green,black,green,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:12.179,1778657352.179374456,18,true,true,manager,1026,green,black,green,word_4colors,3,read_word,/stroop/answer_detail,id=18;answer=true;source=manager;response_time_ms=1026;word=green;ink=black;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:13.440,1778657353.440388441,19,true,true,simple_bool,,black,blue,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:13.441,1778657353.441682577,19,true,true,simple_bool,,black,blue,black,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:13.443,1778657353.443224669,19,true,true,manager,1088,black,blue,black,word_4colors,3,read_word,/stroop/answer_detail,id=19;answer=true;source=manager;response_time_ms=1088;word=black;ink=blue;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:14.569,1778657354.569846392,20,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:14.570,1778657354.570670843,20,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:14.571,1778657354.571587324,20,true,true,manager,1016,black,green,black,word_4colors,3,read_word,/stroop/answer_detail,id=20;answer=true;source=manager;response_time_ms=1016;word=black;ink=green;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:15.888,1778657355.888657808,21,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:15.889,1778657355.889642715,21,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:15.891,1778657355.891048670,21,true,true,manager,1135,blue,black,blue,word_4colors,3,read_word,/stroop/answer_detail,id=21;answer=true;source=manager;response_time_ms=1135;word=blue;ink=black;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:16.843,1778657356.843925238,22,true,true,simple_bool,,red,blue,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:16.844,1778657356.844847202,22,true,true,simple_bool,,red,blue,red,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:16.845,1778657356.845892429,22,true,true,manager,889,red,blue,red,word_4colors,3,read_word,/stroop/answer_detail,id=22;answer=true;source=manager;response_time_ms=889;word=red;ink=blue;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:18.048,1778657358.048491240,23,true,true,simple_bool,,green,blue,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:18.049,1778657358.049294710,23,true,true,simple_bool,,green,blue,green,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:18.050,1778657358.050674200,23,true,true,manager,894,green,blue,green,word_4colors,3,read_word,/stroop/answer_detail,id=23;answer=true;source=manager;response_time_ms=894;word=green;ink=blue;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:19.431,1778657359.431097507,24,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:19.432,1778657359.432223558,24,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:19.433,1778657359.433399200,24,true,true,manager,1076,green,red,green,word_4colors,3,read_word,/stroop/answer_detail,id=24;answer=true;source=manager;response_time_ms=1076;word=green;ink=red;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:20.350,1778657360.350106955,25,true,true,simple_bool,,black,blue,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:20.351,1778657360.351338625,25,true,true,simple_bool,,black,blue,black,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:20.352,1778657360.352633953,25,true,true,manager,794,black,blue,black,word_4colors,3,read_word,/stroop/answer_detail,id=25;answer=true;source=manager;response_time_ms=794;word=black;ink=blue;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-13T16:29:21.303,1778657361.303740263,26,true,true,simple_bool,,blue,red,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-13T16:29:21.304,1778657361.304777145,26,true,true,simple_bool,,blue,red,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-13T16:29:21.306,1778657361.306290388,26,true,true,manager,547,blue,red,blue,word_4colors,3,read_word,/stroop/answer_detail,id=26;answer=true;source=manager;response_time_ms=547;word=blue;ink=red;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
