local_time,ros_time_sec,trial_id,answer,is_correct,source,response_time_ms,word,ink,ground_truth,phase,screen,task,topic,raw_message
2026-05-12T17:58:42.614,1778576322.614151478,16,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:42.615,1778576322.615520000,16,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:42.617,1778576322.617015839,16,true,true,manager,1092,blue,black,blue,word_4colors,3,read_word,/stroop/answer_detail,id=16;answer=true;source=manager;response_time_ms=1092;word=blue;ink=black;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:43.552,1778576323.552910328,17,true,true,simple_bool,,red,blue,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:43.554,1778576323.554453373,17,true,true,simple_bool,,red,blue,red,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:43.556,1778576323.556376696,17,true,true,manager,830,red,blue,red,word_4colors,3,read_word,/stroop/answer_detail,id=17;answer=true;source=manager;response_time_ms=830;word=red;ink=blue;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:44.576,1778576324.576587200,18,true,true,simple_bool,,black,red,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:44.577,1778576324.577405453,18,true,true,simple_bool,,black,red,black,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:44.578,1778576324.578662872,18,true,true,manager,653,black,red,black,word_4colors,3,read_word,/stroop/answer_detail,id=18;answer=true;source=manager;response_time_ms=653;word=black;ink=red;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:45.745,1778576325.745745420,19,true,true,simple_bool,,green,black,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:45.747,1778576325.747437239,19,true,true,simple_bool,,green,black,green,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:45.749,1778576325.749550343,19,true,true,manager,621,green,black,green,word_4colors,3,read_word,/stroop/answer_detail,id=19;answer=true;source=manager;response_time_ms=621;word=green;ink=black;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:46.973,1778576326.973464012,20,true,true,simple_bool,,black,red,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:46.974,1778576326.974610090,20,true,true,simple_bool,,black,red,black,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:46.976,1778576326.975991964,20,true,true,manager,648,black,red,black,word_4colors,3,read_word,/stroop/answer_detail,id=20;answer=true;source=manager;response_time_ms=648;word=black;ink=red;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:48.220,1778576328.220920801,21,true,true,simple_bool,,blue,red,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:48.222,1778576328.222105980,21,true,true,simple_bool,,blue,red,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:48.223,1778576328.223307610,21,true,true,manager,695,blue,red,blue,word_4colors,3,read_word,/stroop/answer_detail,id=21;answer=true;source=manager;response_time_ms=695;word=blue;ink=red;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:49.408,1778576329.408177853,22,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:49.409,1778576329.409410954,22,true,true,simple_bool,,red,green,red,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:49.410,1778576329.410711288,22,true,true,manager,682,red,green,red,word_4colors,3,read_word,/stroop/answer_detail,id=22;answer=true;source=manager;response_time_ms=682;word=red;ink=green;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:50.521,1778576330.521427155,23,true,true,manager,595,green,red,green,word_4colors,3,read_word,/stroop/answer_detail,id=23;answer=true;source=manager;response_time_ms=595;word=green;ink=red;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:50.522,1778576330.522517204,23,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:50.523,1778576330.523374081,23,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:51.791,1778576331.791275740,24,true,true,manager,664,black,green,black,word_4colors,3,read_word,/stroop/answer_detail,id=24;answer=true;source=manager;response_time_ms=664;word=black;ink=green;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-12T17:58:51.792,1778576331.792541742,24,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-12T17:58:51.793,1778576331.793813467,24,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/result,true
2026-05-12T17:58:53.007,1778576333.007274866,25,true,true,simple_bool,,red,black,red,word_4colors,3,read_word,/stroop/answer,true
