local_time,ros_time_sec,trial_id,screen,phase,task,duration_ms,word,ink,ground_truth,raw_message
2026-05-13T16:46:25.786,1778658385.786353350,1,2,pretest_color_congruent,read_color,1000,green,green,green,id=1;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-13T16:46:26.787,1778658386.787179708,2,2,pretest_color_congruent,read_color,1000,blue,blue,blue,id=2;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=blue;ink=blue;ground_truth=blue
2026-05-13T16:46:27.787,1778658387.787933588,3,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=3;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-13T16:46:28.788,1778658388.788402796,4,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=4;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-13T16:46:29.789,1778658389.789587498,5,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=5;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-13T16:46:30.790,1778658390.790606737,6,2,pretest_color_congruent,read_color,1000,black,black,black,id=6;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=black;ink=black;ground_truth=black
2026-05-13T16:46:31.791,1778658391.791369438,7,2,pretest_color_congruent,read_color,1000,brown,brown,brown,id=7;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=brown;ink=brown;ground_truth=brown
2026-05-13T16:46:32.792,1778658392.792005301,8,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=8;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-13T16:46:33.792,1778658393.792392492,9,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=9;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-13T16:46:34.793,1778658394.793202639,10,2,pretest_color_congruent,read_color,1000,red,red,red,id=10;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-13T16:46:35.793,1778658395.793665648,11,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=11;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-13T16:46:36.794,1778658396.794303179,12,2,pretest_color_congruent,read_color,1000,green,green,green,id=12;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-13T16:46:37.794,1778658397.794621706,13,2,pretest_color_congruent,read_color,1000,blue,blue,blue,id=13;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=blue;ink=blue;ground_truth=blue
2026-05-13T16:46:38.795,1778658398.795088053,14,2,pretest_color_congruent,read_color,1000,brown,brown,brown,id=14;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=brown;ink=brown;ground_truth=brown
2026-05-13T16:46:39.795,1778658399.795702219,15,2,pretest_color_congruent,read_color,1000,red,red,red,id=15;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-13T16:46:58.809,1778658418.809563637,16,3,word_4colors,read_word,1200,red,green,red,id=16;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=green;ground_truth=red
2026-05-13T16:47:00.016,1778658420.016016722,17,3,word_4colors,read_word,1200,blue,green,blue,id=17;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=green;ground_truth=blue
2026-05-13T16:47:01.216,1778658421.216807127,18,3,word_4colors,read_word,1200,black,green,black,id=18;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=green;ground_truth=black
2026-05-13T16:47:02.418,1778658422.418183088,19,3,word_4colors,read_word,1200,green,black,green,id=19;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=black;ground_truth=green
2026-05-13T16:47:03.618,1778658423.618831158,20,3,word_4colors,read_word,1200,blue,black,blue,id=20;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=black;ground_truth=blue
2026-05-13T16:47:04.819,1778658424.819415092,21,3,word_4colors,read_word,1200,green,red,green,id=21;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=red;ground_truth=green
2026-05-13T16:47:06.019,1778658426.019879580,22,3,word_4colors,read_word,1200,black,red,black,id=22;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=red;ground_truth=black
2026-05-13T16:47:07.221,1778658427.220962524,23,3,word_4colors,read_word,1200,red,blue,red,id=23;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=blue;ground_truth=red
2026-05-13T16:47:08.421,1778658428.421568632,24,3,word_4colors,read_word,1200,red,blue,red,id=24;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=blue;ground_truth=red
2026-05-13T16:47:09.622,1778658429.622288465,25,3,word_4colors,read_word,1200,black,green,black,id=25;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=green;ground_truth=black
2026-05-13T16:47:10.822,1778658430.822944880,26,3,word_4colors,read_word,1200,green,blue,green,id=26;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=blue;ground_truth=green
2026-05-13T16:47:12.023,1778658432.023471117,27,3,word_4colors,read_word,1200,blue,red,blue,id=27;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=red;ground_truth=blue
2026-05-13T16:47:13.224,1778658433.224133730,28,3,word_4colors,read_word,1200,green,red,green,id=28;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=red;ground_truth=green
2026-05-13T16:47:14.424,1778658434.424512863,29,3,word_4colors,read_word,1200,black,red,black,id=29;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=red;ground_truth=black
2026-05-13T16:47:15.625,1778658435.624972582,30,3,word_4colors,read_word,1200,red,black,red,id=30;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=black;ground_truth=red
2026-05-13T16:47:21.835,1778658441.835301876,31,3,color_4colors,read_color,1200,green,black,black,id=31;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=black;ground_truth=black
2026-05-13T16:47:23.039,1778658443.039713383,32,3,color_4colors,read_color,1200,black,green,green,id=32;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=black;ink=green;ground_truth=green
2026-05-13T16:47:24.240,1778658444.240414619,33,3,color_4colors,read_color,1200,blue,red,red,id=33;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=blue;ink=red;ground_truth=red
2026-05-13T16:47:25.440,1778658445.440864563,34,3,color_4colors,read_color,1200,green,blue,blue,id=34;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=blue;ground_truth=blue
2026-05-13T16:47:26.641,1778658446.641725540,35,3,color_4colors,read_color,1200,red,green,green,id=35;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=red;ink=green;ground_truth=green
2026-05-13T16:47:27.842,1778658447.842499971,36,3,color_4colors,read_color,1200,green,blue,blue,id=36;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=blue;ground_truth=blue
2026-05-13T16:47:29.042,1778658449.042930126,37,3,color_4colors,read_color,1200,black,red,red,id=37;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=black;ink=red;ground_truth=red
2026-05-13T16:47:30.243,1778658450.243544817,38,3,color_4colors,read_color,1200,green,black,black,id=38;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=black;ground_truth=black
2026-05-13T16:47:31.444,1778658451.444332361,39,3,color_4colors,read_color,1200,green,red,red,id=39;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=red;ground_truth=red
2026-05-13T16:47:32.645,1778658452.645048857,40,3,color_4colors,read_color,1200,black,green,green,id=40;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=black;ink=green;ground_truth=green
2026-05-13T16:47:33.845,1778658453.845426559,41,3,color_4colors,read_color,1200,red,black,black,id=41;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=red;ink=black;ground_truth=black
2026-05-13T16:47:35.046,1778658455.045970201,42,3,color_4colors,read_color,1200,black,blue,blue,id=42;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=black;ink=blue;ground_truth=blue
2026-05-13T16:47:36.246,1778658456.246628761,43,3,color_4colors,read_color,1200,green,red,red,id=43;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=red;ground_truth=red
2026-05-13T16:47:37.447,1778658457.447212934,44,3,color_4colors,read_color,1200,green,black,black,id=44;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=green;ink=black;ground_truth=black
2026-05-13T16:47:38.647,1778658458.647859097,45,3,color_4colors,read_color,1200,blue,green,green,id=45;screen=3;phase=color_4colors;task=read_color;duration_ms=1200;word=blue;ink=green;ground_truth=green
2026-05-13T16:47:44.855,1778658464.855890274,46,3,word_6colors,read_word,1000,black,pink,black,id=46;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=black;ink=pink;ground_truth=black
2026-05-13T16:47:45.860,1778658465.860419273,47,3,word_6colors,read_word,1000,red,orange,red,id=47;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=red;ink=orange;ground_truth=red
2026-05-13T16:47:46.860,1778658466.860914946,48,3,word_6colors,read_word,1000,blue,green,blue,id=48;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=blue;ink=green;ground_truth=blue
2026-05-13T16:47:47.861,1778658467.861426830,49,3,word_6colors,read_word,1000,orange,black,orange,id=49;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=orange;ink=black;ground_truth=orange
2026-05-13T16:47:48.862,1778658468.862167120,50,3,word_6colors,read_word,1000,green,black,green,id=50;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=green;ink=black;ground_truth=green
2026-05-13T16:47:49.863,1778658469.862994671,51,3,word_6colors,read_word,1000,pink,red,pink,id=51;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=pink;ink=red;ground_truth=pink
2026-05-13T16:47:50.863,1778658470.863713264,52,3,word_6colors,read_word,1000,green,red,green,id=52;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=green;ink=red;ground_truth=green
2026-05-13T16:47:51.864,1778658471.864188671,53,3,word_6colors,read_word,1000,black,pink,black,id=53;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=black;ink=pink;ground_truth=black
2026-05-13T16:47:52.864,1778658472.864869595,54,3,word_6colors,read_word,1000,blue,orange,blue,id=54;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=blue;ink=orange;ground_truth=blue
2026-05-13T16:47:53.865,1778658473.865351915,55,3,word_6colors,read_word,1000,orange,blue,orange,id=55;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=orange;ink=blue;ground_truth=orange
2026-05-13T16:47:54.866,1778658474.866055965,56,3,word_6colors,read_word,1000,pink,green,pink,id=56;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=pink;ink=green;ground_truth=pink
2026-05-13T16:47:55.866,1778658475.866642475,57,3,word_6colors,read_word,1000,red,pink,red,id=57;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=red;ink=pink;ground_truth=red
2026-05-13T16:47:56.867,1778658476.867250919,58,3,word_6colors,read_word,1000,pink,green,pink,id=58;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=pink;ink=green;ground_truth=pink
2026-05-13T16:47:57.868,1778658477.868042469,59,3,word_6colors,read_word,1000,black,pink,black,id=59;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=black;ink=pink;ground_truth=black
2026-05-13T16:47:58.868,1778658478.868666410,60,3,word_6colors,read_word,1000,green,pink,green,id=60;screen=3;phase=word_6colors;task=read_word;duration_ms=1000;word=green;ink=pink;ground_truth=green
2026-05-13T16:48:04.876,1778658484.876681089,61,3,color_6colors,read_color,1000,red,pink,pink,id=61;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=red;ink=pink;ground_truth=pink
2026-05-13T16:48:05.880,1778658485.880668640,62,3,color_6colors,read_color,1000,pink,black,black,id=62;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=pink;ink=black;ground_truth=black
2026-05-13T16:48:06.881,1778658486.881211996,63,3,color_6colors,read_color,1000,black,orange,orange,id=63;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=black;ink=orange;ground_truth=orange
2026-05-13T16:48:07.881,1778658487.881739378,64,3,color_6colors,read_color,1000,orange,red,red,id=64;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=orange;ink=red;ground_truth=red
2026-05-13T16:48:08.882,1778658488.882478952,65,3,color_6colors,read_color,1000,black,green,green,id=65;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=black;ink=green;ground_truth=green
2026-05-13T16:48:09.883,1778658489.883061886,66,3,color_6colors,read_color,1000,black,blue,blue,id=66;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=black;ink=blue;ground_truth=blue
2026-05-13T16:48:10.883,1778658490.883587122,67,3,color_6colors,read_color,1000,pink,orange,orange,id=67;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=pink;ink=orange;ground_truth=orange
2026-05-13T16:48:11.884,1778658491.884206772,68,3,color_6colors,read_color,1000,red,pink,pink,id=68;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=red;ink=pink;ground_truth=pink
2026-05-13T16:48:12.884,1778658492.884837627,69,3,color_6colors,read_color,1000,red,black,black,id=69;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=red;ink=black;ground_truth=black
2026-05-13T16:48:13.885,1778658493.885362864,70,3,color_6colors,read_color,1000,pink,green,green,id=70;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=pink;ink=green;ground_truth=green
2026-05-13T16:48:14.886,1778658494.886116743,71,3,color_6colors,read_color,1000,red,blue,blue,id=71;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=red;ink=blue;ground_truth=blue
2026-05-13T16:48:15.886,1778658495.886717796,72,3,color_6colors,read_color,1000,orange,red,red,id=72;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=orange;ink=red;ground_truth=red
2026-05-13T16:48:16.887,1778658496.887374878,73,3,color_6colors,read_color,1000,black,green,green,id=73;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=black;ink=green;ground_truth=green
2026-05-13T16:48:17.888,1778658497.888311625,74,3,color_6colors,read_color,1000,orange,pink,pink,id=74;screen=3;phase=color_6colors;task=read_color;duration_ms=1000;word=orange;ink=pink;ground_truth=pink
