local_time,ros_time_sec,trial_id,screen,phase,task,duration_ms,word,ink,ground_truth,raw_message
2026-05-13T16:28:28.307,1778657308.307159662,1,2,pretest_color_congruent,read_color,1000,brown,brown,brown,id=1;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=brown;ink=brown;ground_truth=brown
2026-05-13T16:28:29.308,1778657309.308195591,2,2,pretest_color_congruent,read_color,1000,red,red,red,id=2;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-13T16:28:30.309,1778657310.309358120,3,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=3;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-13T16:28:31.310,1778657311.310235739,4,2,pretest_color_congruent,read_color,1000,brown,brown,brown,id=4;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=brown;ink=brown;ground_truth=brown
2026-05-13T16:28:32.311,1778657312.311447620,5,2,pretest_color_congruent,read_color,1000,black,black,black,id=5;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=black;ink=black;ground_truth=black
2026-05-13T16:28:33.312,1778657313.312036991,6,2,pretest_color_congruent,read_color,1000,blue,blue,blue,id=6;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=blue;ink=blue;ground_truth=blue
2026-05-13T16:28:34.312,1778657314.312531710,7,2,pretest_color_congruent,read_color,1000,red,red,red,id=7;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=red;ink=red;ground_truth=red
2026-05-13T16:28:35.312,1778657315.312942743,8,2,pretest_color_congruent,read_color,1000,black,black,black,id=8;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=black;ink=black;ground_truth=black
2026-05-13T16:28:36.313,1778657316.313827753,9,2,pretest_color_congruent,read_color,1000,pink,pink,pink,id=9;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=pink;ink=pink;ground_truth=pink
2026-05-13T16:28:37.314,1778657317.314569712,10,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=10;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-13T16:28:38.315,1778657318.315130711,11,2,pretest_color_congruent,read_color,1000,green,green,green,id=11;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-13T16:28:39.315,1778657319.315687418,12,2,pretest_color_congruent,read_color,1000,blue,blue,blue,id=12;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=blue;ink=blue;ground_truth=blue
2026-05-13T16:28:40.316,1778657320.316240072,13,2,pretest_color_congruent,read_color,1000,purple,purple,purple,id=13;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=purple;ink=purple;ground_truth=purple
2026-05-13T16:28:41.316,1778657321.316689491,14,2,pretest_color_congruent,read_color,1000,green,green,green,id=14;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=green;ink=green;ground_truth=green
2026-05-13T16:28:42.317,1778657322.317325592,15,2,pretest_color_congruent,read_color,1000,orange,orange,orange,id=15;screen=2;phase=pretest_color_congruent;task=read_color;duration_ms=1000;word=orange;ink=orange;ground_truth=orange
2026-05-13T16:29:08.745,1778657348.745736361,16,3,word_4colors,read_word,1200,red,blue,red,id=16;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=red;ink=blue;ground_truth=red
2026-05-13T16:29:09.949,1778657349.949952364,17,3,word_4colors,read_word,1200,blue,black,blue,id=17;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=black;ground_truth=blue
2026-05-13T16:29:11.151,1778657351.150973797,18,3,word_4colors,read_word,1200,green,black,green,id=18;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=green;ink=black;ground_truth=green
2026-05-13T16:29:12.351,1778657352.351852417,19,3,word_4colors,read_word,1200,black,blue,black,id=19;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=blue;ground_truth=black
2026-05-13T16:29:13.552,1778657353.552759171,20,3,word_4colors,read_word,1200,black,green,black,id=20;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=black;ink=green;ground_truth=black
2026-05-13T16:29:14.753,1778657354.753259897,21,3,word_4colors,read_word,1200,blue,black,blue,id=21;screen=3;phase=word_4colors;task=read_word;duration_ms=1200;word=blue;ink=black;ground_truth=blue
