local_time,ros_time_sec,trial_id,answer,is_correct,source,response_time_ms,word,ink,ground_truth,phase,screen,task,topic,raw_message
2026-05-11T14:23:49.531,1778477029.531947613,16,true,true,manager,995,red,black,red,word_4colors,3,read_word,/stroop/answer_detail,id=16;answer=true;source=manager;response_time_ms=995;word=red;ink=black;ground_truth=red;phase=word_4colors;screen=3;task=read_word
2026-05-11T14:23:49.532,1778477029.532733202,16,true,true,simple_bool,,red,black,red,word_4colors,3,read_word,/stroop/answer,true
2026-05-11T14:23:49.534,1778477029.534476995,16,true,true,simple_bool,,red,black,red,word_4colors,3,read_word,/stroop/result,true
2026-05-11T14:23:50.628,1778477030.627991915,17,true,true,simple_bool,,blue,green,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-11T14:23:50.628,1778477030.628857851,17,true,true,simple_bool,,blue,green,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-11T14:23:50.630,1778477030.629998684,17,true,true,manager,890,blue,green,blue,word_4colors,3,read_word,/stroop/answer_detail,id=17;answer=true;source=manager;response_time_ms=890;word=blue;ink=green;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-11T14:23:51.722,1778477031.722723961,18,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-11T14:23:51.723,1778477031.723659754,18,true,true,simple_bool,,black,green,black,word_4colors,3,read_word,/stroop/result,true
2026-05-11T14:23:51.732,1778477031.732913971,18,true,true,manager,784,black,green,black,word_4colors,3,read_word,/stroop/answer_detail,id=18;answer=true;source=manager;response_time_ms=784;word=black;ink=green;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-11T14:23:52.870,1778477032.870810032,19,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/answer,true
2026-05-11T14:23:52.872,1778477032.871949196,19,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/result,true
2026-05-11T14:23:52.874,1778477032.874030590,19,true,true,manager,731,green,red,green,word_4colors,3,read_word,/stroop/answer_detail,id=19;answer=true;source=manager;response_time_ms=731;word=green;ink=red;ground_truth=green;phase=word_4colors;screen=3;task=read_word
2026-05-11T14:23:54.127,1778477034.127352238,20,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/answer,true
2026-05-11T14:23:54.129,1778477034.129716158,20,true,true,manager,787,blue,black,blue,word_4colors,3,read_word,/stroop/answer_detail,id=20;answer=true;source=manager;response_time_ms=787;word=blue;ink=black;ground_truth=blue;phase=word_4colors;screen=3;task=read_word
2026-05-11T14:23:54.130,1778477034.130782604,20,true,true,simple_bool,,blue,black,blue,word_4colors,3,read_word,/stroop/result,true
2026-05-11T14:23:55.367,1778477035.367075443,21,true,true,simple_bool,,black,blue,black,word_4colors,3,read_word,/stroop/answer,true
2026-05-11T14:23:55.368,1778477035.368157148,21,true,true,simple_bool,,black,blue,black,word_4colors,3,read_word,/stroop/result,true
2026-05-11T14:23:55.369,1778477035.369527578,21,true,true,manager,826,black,blue,black,word_4colors,3,read_word,/stroop/answer_detail,id=21;answer=true;source=manager;response_time_ms=826;word=black;ink=blue;ground_truth=black;phase=word_4colors;screen=3;task=read_word
2026-05-11T14:23:56.500,1778477036.500428915,22,true,true,simple_bool,,green,red,green,word_4colors,3,read_word,/stroop/answer,true
